direction,category,,direction - compass direction for the trap the salamanders were found in,category - sclts (santa cruz long toed salamander) and cts (california tiger salamander). Each row is for each individuals
0,CTS,,,
307,CTS,,,
281,CTS,,,
94,CTS,,,
94,CTS,,,
94,CTS,,,
94,CTS,,,
94,CTS,,,
94,CTS,,,
94,CTS,,,
94,CTS,,,
80,CTS,,,
80,CTS,,,
80,CTS,,,
80,CTS,,,
80,CTS,,,
80,CTS,,,
80,CTS,,,
80,CTS,,,
34,CTS,,,
34,CTS,,,
34,CTS,,,
34,CTS,,,
34,CTS,,,
34,CTS,,,
34,CTS,,,
34,CTS,,,
26,CTS,,,
26,CTS,,,
26,CTS,,,
16,CTS,,,
16,CTS,,,
16,CTS,,,
8,CTS,,,
8,CTS,,,
8,CTS,,,
8,CTS,,,
8,CTS,,,
8,CTS,,,
8,CTS,,,
0,SCLTS,,,
8,SCLTS,,,
26,SCLTS,,,
26,SCLTS,,,
26,SCLTS,,,
26,SCLTS,,,
34,SCLTS,,,
34,SCLTS,,,
34,SCLTS,,,
34,SCLTS,,,
34,SCLTS,,,
80,SCLTS,,,
80,SCLTS,,,
80,SCLTS,,,
80,SCLTS,,,
80,SCLTS,,,
94,SCLTS,,,
135,SCLTS,,,
135,SCLTS,,,
135,SCLTS,,,
135,SCLTS,,,
342,SCLTS,,,
342,SCLTS,,,
342,SCLTS,,,
342,SCLTS,,,
342,SCLTS,,,
342,SCLTS,,,
342,SCLTS,,,
342,SCLTS,,,
318,SCLTS,,,
318,SCLTS,,,
318,SCLTS,,,
318,SCLTS,,,
318,SCLTS,,,
307,SCLTS,,,
307,SCLTS,,,
307,SCLTS,,,
307,SCLTS,,,
307,SCLTS,,,
307,SCLTS,,,
263,SCLTS,,,
263,SCLTS,,,
263,SCLTS,,,
263,SCLTS,,,
263,SCLTS,,,
263,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
281,SCLTS,,,
222,SCLTS,,,
222,SCLTS,,,
222,SCLTS,,,
222,SCLTS,,,
222,SCLTS,,,
222,SCLTS,,,
222,SCLTS,,,
222,SCLTS,,,
222,SCLTS,,,
222,SCLTS,,,
222,SCLTS,,,
222,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
217,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
154,SCLTS,,,
